name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,03h 15m,05:45,09:00,INR360,30Seats available,3.9236
AdKalpana Travels,1-Tezpur to Guwahati,Mission Chariali,ISBT Guwahati,03h 40m,08:50,12:30,342,44Seats available,3.44
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 05m,05:55,09:00,INR352.38,19Seats available,4.447
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,06:15,09:40,338,22Seats available,3.971
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,03h 55m,06:30,10:25,INR360,27Seats available,4.2405
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,07:35,11:00,INR342.86,22Seats available,3.7102
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,04h 15m,07:45,12:00,INR360,27Seats available,4.1352
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 30m,08:00,11:30,357,30Seats available,4.792
Mahalaxmi Travels,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 50m,09:55,13:45,INR310,38Seats available,3.944
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Tezpur(Dolabari,Khanapara,04h 15m,11:15,15:30,INR450,21Seats available,3.8
Chartered Bus - ASTC,1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,04h 45m,11:30,16:15,INR324.47,14Seats available,3.899
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Dulabari centre,Khanapara,05h 15m,11:30,16:45,INR450,29Seats available,4.319
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,Khanapara,04h 00m,13:00,17:00,INR389.13,11Seats available,4.7500
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,ISBT Guwahati,04h 00m,14:30,18:30,INR432.06,36Seats available,4.287
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,Khanapara,03h 45m,15:30,19:15,INR389.13,11Seats available,4.6489
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,06h 05m,00:25,06:30,INR450,11Seats available,2.912
DESTINY TRAVELS,1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,28h 45m,01:15,06:00,399,31Seats available,2.0
Vihaan Travels,1-Tezpur to Guwahati,Tezpur ASTC,Khanapara,03h 30m,05:15,08:45,INR350,15Seats available,2.09
Upasana Travels (Under ASTC),1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,04h 10m,06:30,10:40,INR285,21Seats available,2.08
Upasana Travels (Under ASTC),1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,04h 05m,06:55,11:00,INR325,40Seats available,2.55
Brindaban Travels,1-Tezpur to Guwahati,Mission Chariali,Khanapara,04h 00m,09:15,13:15,INR315,35Seats available,2.726
Karisma (Aziba),1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,04h 25m,09:45,14:10,INR350,24Seats available,2.6
BARBIE TRAVELS,1-Tezpur to Guwahati,Tezpur(Porua Chariali,Guwahati Isbt,04h 40m,13:10,17:50,INR350,36Seats available,New
BLUE HILL TRAVELS INDIA LIMITED,1-Tezpur to Guwahati,Paruwa Chariali,Khanapara,06h 00m,21:30,03:30,INR400,25Seats available,2.8103
BLUE HILL TRAVELS INDIA LIMITED,1-Tezpur to Guwahati,Dolabari Centre,Paltan Bazar,05h 30m,22:15,03:45,INR550,24Seats available,3.726
Himalayan Travels,1-Tezpur to Guwahati,Mission Chariali,Paltan Bazar,04h 20m,23:40,04:00,450,35Seats available,2.910
NEELKANTH TRAVELS,1-Tezpur to Guwahati,Tezpur (Mission Chariali,Khanapara,03h 15m,05:15,08:30,INR300,27Seats available,4.690
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 15m,05:40,08:55,340,7Seats available,4.6400
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,03h 15m,05:45,09:00,INR360,30Seats available,3.9236
AdKalpana Travels,1-Tezpur to Guwahati,Mission Chariali,ISBT Guwahati,03h 40m,08:50,12:30,342,44Seats available,3.44
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 05m,05:55,09:00,INR352.38,19Seats available,4.447
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,06:15,09:40,338,22Seats available,3.971
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,03h 55m,06:30,10:25,INR360,27Seats available,4.2405
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,07:35,11:00,INR342.86,22Seats available,3.7102
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,04h 15m,07:45,12:00,INR360,27Seats available,4.1352
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 30m,08:00,11:30,357,30Seats available,4.792
Mahalaxmi Travels,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 50m,09:55,13:45,INR310,38Seats available,3.944
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Tezpur(Dolabari,Khanapara,04h 15m,11:15,15:30,INR450,21Seats available,3.8
Chartered Bus - ASTC,1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,04h 45m,11:30,16:15,INR324.47,14Seats available,3.899
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Dulabari centre,Khanapara,05h 15m,11:30,16:45,INR450,29Seats available,4.319
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,Khanapara,04h 00m,13:00,17:00,INR389.13,11Seats available,4.7500
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,ISBT Guwahati,04h 00m,14:30,18:30,INR432.06,36Seats available,4.287
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,Khanapara,03h 45m,15:30,19:15,INR389.13,11Seats available,4.6489
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,06h 05m,00:25,06:30,INR450,11Seats available,2.912
DESTINY TRAVELS,1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,28h 45m,01:15,06:00,399,31Seats available,2.0
Vihaan Travels,1-Tezpur to Guwahati,Tezpur ASTC,Khanapara,03h 30m,05:15,08:45,INR350,15Seats available,2.09
Upasana Travels (Under ASTC),1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,04h 10m,06:30,10:40,INR285,21Seats available,2.08
Upasana Travels (Under ASTC),1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,04h 05m,06:55,11:00,INR325,40Seats available,2.55
Brindaban Travels,1-Tezpur to Guwahati,Mission Chariali,Khanapara,04h 00m,09:15,13:15,INR315,35Seats available,2.726
Karisma (Aziba),1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,04h 25m,09:45,14:10,INR350,24Seats available,2.6
BARBIE TRAVELS,1-Tezpur to Guwahati,Tezpur(Porua Chariali,Guwahati Isbt,04h 40m,13:10,17:50,INR350,36Seats available,New
BLUE HILL TRAVELS INDIA LIMITED,1-Tezpur to Guwahati,Paruwa Chariali,Khanapara,06h 00m,21:30,03:30,INR400,25Seats available,2.8103
BLUE HILL TRAVELS INDIA LIMITED,1-Tezpur to Guwahati,Dolabari Centre,Paltan Bazar,05h 30m,22:15,03:45,INR550,24Seats available,3.726
Himalayan Travels,1-Tezpur to Guwahati,Mission Chariali,Paltan Bazar,04h 20m,23:40,04:00,450,35Seats available,2.910
NEELKANTH TRAVELS,1-Tezpur to Guwahati,Tezpur (Mission Chariali,Khanapara,03h 15m,05:15,08:30,INR300,27Seats available,4.690
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 15m,05:40,08:55,340,7Seats available,4.6400
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,03h 15m,05:45,09:00,INR360,30Seats available,3.9236
AdKalpana Travels,1-Tezpur to Guwahati,Mission Chariali,ISBT Guwahati,03h 40m,08:50,12:30,342,44Seats available,3.44
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 05m,05:55,09:00,INR352.38,19Seats available,4.447
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,06:15,09:40,338,22Seats available,3.971
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,03h 55m,06:30,10:25,INR360,27Seats available,4.2405
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,07:35,11:00,INR342.86,22Seats available,3.7102
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,04h 15m,07:45,12:00,INR360,27Seats available,4.1352
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 30m,08:00,11:30,357,30Seats available,4.792
Mahalaxmi Travels,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 50m,09:55,13:45,INR310,38Seats available,3.944
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Tezpur(Dolabari,Khanapara,04h 15m,11:15,15:30,INR450,21Seats available,3.8
Chartered Bus - ASTC,1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,04h 45m,11:30,16:15,INR324.47,14Seats available,3.899
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Dulabari centre,Khanapara,05h 15m,11:30,16:45,INR450,29Seats available,4.319
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,Khanapara,04h 00m,13:00,17:00,INR389.13,11Seats available,4.7500
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,ISBT Guwahati,04h 00m,14:30,18:30,INR432.06,36Seats available,4.287
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,Khanapara,03h 45m,15:30,19:15,INR389.13,11Seats available,4.6489
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,06h 05m,00:25,06:30,INR450,11Seats available,2.912
DESTINY TRAVELS,1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,28h 45m,01:15,06:00,399,31Seats available,2.0
Vihaan Travels,1-Tezpur to Guwahati,Tezpur ASTC,Khanapara,03h 30m,05:15,08:45,INR350,15Seats available,2.09
Upasana Travels (Under ASTC),1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,04h 10m,06:30,10:40,INR285,21Seats available,2.08
Upasana Travels (Under ASTC),1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,04h 05m,06:55,11:00,INR325,40Seats available,2.55
Brindaban Travels,1-Tezpur to Guwahati,Mission Chariali,Khanapara,04h 00m,09:15,13:15,INR315,35Seats available,2.726
Karisma (Aziba),1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,04h 25m,09:45,14:10,INR350,24Seats available,2.6
BARBIE TRAVELS,1-Tezpur to Guwahati,Tezpur(Porua Chariali,Guwahati Isbt,04h 40m,13:10,17:50,INR350,36Seats available,New
BLUE HILL TRAVELS INDIA LIMITED,1-Tezpur to Guwahati,Paruwa Chariali,Khanapara,06h 00m,21:30,03:30,INR400,25Seats available,2.8103
BLUE HILL TRAVELS INDIA LIMITED,1-Tezpur to Guwahati,Dolabari Centre,Paltan Bazar,05h 30m,22:15,03:45,INR550,24Seats available,3.726
Himalayan Travels,1-Tezpur to Guwahati,Mission Chariali,Paltan Bazar,04h 20m,23:40,04:00,450,35Seats available,2.910
NEELKANTH TRAVELS,1-Tezpur to Guwahati,Tezpur (Mission Chariali,Khanapara,03h 15m,05:15,08:30,INR300,27Seats available,4.690
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 15m,05:40,08:55,340,7Seats available,4.6400
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,03h 15m,05:45,09:00,INR360,30Seats available,3.9236
AdKalpana Travels,1-Tezpur to Guwahati,Mission Chariali,ISBT Guwahati,03h 40m,08:50,12:30,342,44Seats available,3.44
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 05m,05:55,09:00,INR352.38,19Seats available,4.447
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,06:15,09:40,338,22Seats available,3.971
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,03h 55m,06:30,10:25,INR360,27Seats available,4.2405
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,07:35,11:00,INR342.86,22Seats available,3.7102
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,04h 15m,07:45,12:00,INR360,27Seats available,4.1352
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 30m,08:00,11:30,357,30Seats available,4.792
Mahalaxmi Travels,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 50m,09:55,13:45,INR310,38Seats available,3.944
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Tezpur(Dolabari,Khanapara,04h 15m,11:15,15:30,INR450,21Seats available,3.8
Chartered Bus - ASTC,1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,04h 45m,11:30,16:15,INR324.47,14Seats available,3.899
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Dulabari centre,Khanapara,05h 15m,11:30,16:45,INR450,29Seats available,4.319
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,Khanapara,04h 00m,13:00,17:00,INR389.13,11Seats available,4.7500
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,ISBT Guwahati,04h 00m,14:30,18:30,INR432.06,36Seats available,4.287
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,Khanapara,03h 45m,15:30,19:15,INR389.13,11Seats available,4.6489
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,06h 05m,00:25,06:30,INR450,11Seats available,2.912
DESTINY TRAVELS,1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,28h 45m,01:15,06:00,399,31Seats available,2.0
Vihaan Travels,1-Tezpur to Guwahati,Tezpur ASTC,Khanapara,03h 30m,05:15,08:45,INR350,15Seats available,2.09
Upasana Travels (Under ASTC),1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,04h 10m,06:30,10:40,INR285,21Seats available,2.08
Upasana Travels (Under ASTC),1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,04h 05m,06:55,11:00,INR325,40Seats available,2.55
Brindaban Travels,1-Tezpur to Guwahati,Mission Chariali,Khanapara,04h 00m,09:15,13:15,INR315,35Seats available,2.726
Karisma (Aziba),1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,04h 25m,09:45,14:10,INR350,24Seats available,2.6
BARBIE TRAVELS,1-Tezpur to Guwahati,Tezpur(Porua Chariali,Guwahati Isbt,04h 40m,13:10,17:50,INR350,36Seats available,New
BLUE HILL TRAVELS INDIA LIMITED,1-Tezpur to Guwahati,Paruwa Chariali,Khanapara,06h 00m,21:30,03:30,INR400,25Seats available,2.8103
BLUE HILL TRAVELS INDIA LIMITED,1-Tezpur to Guwahati,Dolabari Centre,Paltan Bazar,05h 30m,22:15,03:45,INR550,24Seats available,3.726
Himalayan Travels,1-Tezpur to Guwahati,Mission Chariali,Paltan Bazar,04h 20m,23:40,04:00,450,35Seats available,2.910
NEELKANTH TRAVELS,1-Tezpur to Guwahati,Tezpur (Mission Chariali,Khanapara,03h 15m,05:15,08:30,INR300,27Seats available,4.690
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 15m,05:40,08:55,340,7Seats available,4.6400
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,03h 15m,05:45,09:00,INR360,30Seats available,3.9236
AdKalpana Travels,1-Tezpur to Guwahati,Mission Chariali,ISBT Guwahati,03h 40m,08:50,12:30,342,44Seats available,3.44
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 05m,05:55,09:00,INR352.38,19Seats available,4.447
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,06:15,09:40,338,22Seats available,3.971
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,03h 55m,06:30,10:25,INR360,27Seats available,4.2405
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,07:35,11:00,INR342.86,22Seats available,3.7102
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,04h 15m,07:45,12:00,INR360,27Seats available,4.1352
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 30m,08:00,11:30,357,30Seats available,4.792
Mahalaxmi Travels,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 50m,09:55,13:45,INR310,38Seats available,3.944
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Tezpur(Dolabari,Khanapara,04h 15m,11:15,15:30,INR450,21Seats available,3.8
Chartered Bus - ASTC,1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,04h 45m,11:30,16:15,INR324.47,14Seats available,3.899
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Dulabari centre,Khanapara,05h 15m,11:30,16:45,INR450,29Seats available,4.319
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,Khanapara,04h 00m,13:00,17:00,INR389.13,11Seats available,4.7500
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,ISBT Guwahati,04h 00m,14:30,18:30,INR432.06,36Seats available,4.287
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,Khanapara,03h 45m,15:30,19:15,INR389.13,11Seats available,4.6489
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,06h 05m,00:25,06:30,INR450,11Seats available,2.912
DESTINY TRAVELS,1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,28h 45m,01:15,06:00,399,31Seats available,2.0
Vihaan Travels,1-Tezpur to Guwahati,Tezpur ASTC,Khanapara,03h 30m,05:15,08:45,INR350,15Seats available,2.09
Upasana Travels (Under ASTC),1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,04h 10m,06:30,10:40,INR285,21Seats available,2.08
Upasana Travels (Under ASTC),1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,04h 05m,06:55,11:00,INR325,40Seats available,2.55
Brindaban Travels,1-Tezpur to Guwahati,Mission Chariali,Khanapara,04h 00m,09:15,13:15,INR315,35Seats available,2.726
Karisma (Aziba),1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,04h 25m,09:45,14:10,INR350,24Seats available,2.6
BARBIE TRAVELS,1-Tezpur to Guwahati,Tezpur(Porua Chariali,Guwahati Isbt,04h 40m,13:10,17:50,INR350,36Seats available,New
BLUE HILL TRAVELS INDIA LIMITED,1-Tezpur to Guwahati,Paruwa Chariali,Khanapara,06h 00m,21:30,03:30,INR400,25Seats available,2.8103
BLUE HILL TRAVELS INDIA LIMITED,1-Tezpur to Guwahati,Dolabari Centre,Paltan Bazar,05h 30m,22:15,03:45,INR550,24Seats available,3.726
Himalayan Travels,1-Tezpur to Guwahati,Mission Chariali,Paltan Bazar,04h 20m,23:40,04:00,450,35Seats available,2.910
NEELKANTH TRAVELS,1-Tezpur to Guwahati,Tezpur (Mission Chariali,Khanapara,03h 15m,05:15,08:30,INR300,27Seats available,4.690
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 15m,05:40,08:55,340,7Seats available,4.6400
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,03h 15m,05:45,09:00,INR360,30Seats available,3.9236
AdKalpana Travels,1-Tezpur to Guwahati,Mission Chariali,ISBT Guwahati,03h 40m,08:50,12:30,342,44Seats available,3.44
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 05m,05:55,09:00,INR352.38,19Seats available,4.447
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,06:15,09:40,338,22Seats available,3.971
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,03h 55m,06:30,10:25,INR360,27Seats available,4.2405
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,07:35,11:00,INR342.86,22Seats available,3.7102
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,04h 15m,07:45,12:00,INR360,27Seats available,4.1352
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 30m,08:00,11:30,357,30Seats available,4.792
Mahalaxmi Travels,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 50m,09:55,13:45,INR310,38Seats available,3.944
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Tezpur(Dolabari,Khanapara,04h 15m,11:15,15:30,INR450,21Seats available,3.8
Chartered Bus - ASTC,1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,04h 45m,11:30,16:15,INR324.47,14Seats available,3.899
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Dulabari centre,Khanapara,05h 15m,11:30,16:45,INR450,29Seats available,4.319
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,Khanapara,04h 00m,13:00,17:00,INR389.13,11Seats available,4.7500
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,ISBT Guwahati,04h 00m,14:30,18:30,INR432.06,36Seats available,4.287
Chartered Bus - ASTC,1-Tezpur to Guwahati,Tezpur Astc,Khanapara,03h 45m,15:30,19:15,INR389.13,11Seats available,4.6489
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,06h 05m,00:25,06:30,INR450,11Seats available,2.912
DESTINY TRAVELS,1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,28h 45m,01:15,06:00,399,31Seats available,2.0
Vihaan Travels,1-Tezpur to Guwahati,Tezpur ASTC,Khanapara,03h 30m,05:15,08:45,INR350,15Seats available,2.09
Upasana Travels (Under ASTC),1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,04h 10m,06:30,10:40,INR285,21Seats available,2.08
Upasana Travels (Under ASTC),1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,04h 05m,06:55,11:00,INR325,40Seats available,2.55
Brindaban Travels,1-Tezpur to Guwahati,Mission Chariali,Khanapara,04h 00m,09:15,13:15,INR315,35Seats available,2.726
Karisma (Aziba),1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,04h 25m,09:45,14:10,INR350,24Seats available,2.6
BARBIE TRAVELS,1-Tezpur to Guwahati,Tezpur(Porua Chariali,Guwahati Isbt,04h 40m,13:10,17:50,INR350,36Seats available,New
BLUE HILL TRAVELS INDIA LIMITED,1-Tezpur to Guwahati,Paruwa Chariali,Khanapara,06h 00m,21:30,03:30,INR400,25Seats available,2.8103
BLUE HILL TRAVELS INDIA LIMITED,1-Tezpur to Guwahati,Dolabari Centre,Paltan Bazar,05h 30m,22:15,03:45,INR550,24Seats available,3.726
Himalayan Travels,1-Tezpur to Guwahati,Mission Chariali,Paltan Bazar,04h 20m,23:40,04:00,450,35Seats available,2.910
NEELKANTH TRAVELS,1-Tezpur to Guwahati,Tezpur (Mission Chariali,Khanapara,03h 15m,05:15,08:30,INR300,27Seats available,4.690
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 15m,05:40,08:55,340,7Seats available,4.6400
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,03h 15m,05:45,09:00,INR360,30Seats available,3.9236
AdKalpana Travels,1-Tezpur to Guwahati,Mission Chariali,ISBT Guwahati,03h 40m,08:50,12:30,342,44Seats available,3.44
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 05m,05:55,09:00,INR352.38,19Seats available,4.447
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,06:15,09:40,338,22Seats available,3.971
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,03h 55m,06:30,10:25,INR360,27Seats available,4.2405
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,07:35,11:00,INR342.86,22Seats available,3.7102
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,04h 15m,07:45,12:00,INR360,27Seats available,4.1352
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 30m,08:00,11:30,357,30Seats available,4.792
Mahalaxmi Travels,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 50m,09:55,13:45,INR310,38Seats available,3.944
Pranjit Travels (Under ASTC),1-Tezpur to Guwahati,Tezpur(Dolabari,Khanapara,04h 15m,11:15,15:30,INR450,21Seats available,3.8
Chartered Bus - ASTC,1-Tezpur to Guwahati,Dulabari centre,ISBT Guwahati,04h 45m,11:30,16:15,INR324.47,14Seats available,3.899
